Time,"Latitude, Longitude"
2021/04/15 16:43:22 UTC,"45.187 ± 39.66 meters, 5.714 ± 39.66 meters"
2021/04/15 16:43:22 UTC,"45.187 ± 39.66 meters, 5.716 ± 39.66 meters"
2021/04/15 16:43:25 UTC,"45.187 ± 39.66 meters, 5.716 ± 39.66 meters"
2021/04/15 16:43:25 UTC,"45.187 ± 39.66 meters, 5.714 ± 39.66 meters"
2021/04/15 16:43:26 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:27 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:28 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:29 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:30 UTC,"45.187 ± 39.66 meters, 5.716 ± 39.66 meters"
2021/04/15 16:43:30 UTC,"45.187 ± 39.66 meters, 5.714 ± 39.66 meters"
2021/04/15 16:43:31 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:32 UTC,"45.189 ± 39.66 meters, 5.715 ± 39.66 meters"
2021/04/15 16:43:33 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:39 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:40 UTC,"45.189 ± 39.66 meters, 5.715 ± 39.66 meters"
2021/04/15 16:43:41 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:42 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:44 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:43:53 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:44:02 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:44:15 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:44:18 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:44:19 UTC,"45.188 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:44:20 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 16:44:21 UTC,"45.188 ± 39.66 meters, 5.715 ± 39.66 meters"
2021/04/15 16:44:23 UTC,"45.188 ± 39.66 meters, 5.715 ± 39.66 meters"
2021/04/15 16:44:23 UTC,"45.189 ± 39.66 meters, 5.713 ± 39.66 meters"
2021/04/15 17:18:28 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/15 17:18:28 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/15 17:39:36 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/15 17:39:42 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/15 17:39:42 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/15 17:39:45 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/15 17:39:45 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/15 17:39:48 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/15 17:46:26 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 07:06:21 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 07:06:22 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 07:06:28 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 07:06:38 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:06:41 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:06:43 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:06:48 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:06:53 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:06:55 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:06:59 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:07:34 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 07:07:34 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 15:23:54 UTC,"45.205 ± 39.66 meters, 5.698 ± 39.66 meters"
2021/04/16 15:23:54 UTC,"45.205 ± 39.66 meters, 5.701 ± 39.66 meters"
2021/04/16 15:25:57 UTC,"45.205 ± 39.66 meters, 5.698 ± 39.66 meters"
2021/04/16 15:25:57 UTC,"45.205 ± 39.66 meters, 5.701 ± 39.66 meters"
2021/04/16 15:27:06 UTC,"45.204 ± 39.66 meters, 5.702 ± 39.66 meters"
2021/04/16 15:27:09 UTC,"45.204 ± 39.66 meters, 5.702 ± 39.66 meters"
2021/04/16 16:08:28 UTC,"45.190 ± 39.66 meters, 5.731 ± 39.66 meters"
2021/04/16 16:09:18 UTC,"45.190 ± 39.66 meters, 5.731 ± 39.66 meters"
2021/04/16 16:52:53 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 16:52:53 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 16:56:58 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 16:56:59 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 16:56:59 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 16:57:01 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 16:57:01 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 16:57:18 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 16:57:25 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 16:57:28 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 16:57:28 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 16:57:31 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 16:57:31 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 16:58:48 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 17:08:03 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:08:04 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:08:09 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 17:08:09 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:08:51 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:10:47 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:11:09 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 17:11:54 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:11:54 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 17:15:54 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 17:15:54 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 17:39:44 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 19:42:25 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/16 19:59:37 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 20:27:22 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/16 20:41:22 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/16 20:41:28 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:05 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:13 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 07:45:13 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:14 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 07:45:14 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:19 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 07:45:19 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:20 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 07:45:20 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:24 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:24 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 07:45:25 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 07:45:25 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 07:45:31 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 07:46:12 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 07:46:12 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 08:04:58 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 08:04:58 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 08:26:38 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 08:29:17 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 08:29:17 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 08:29:27 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:12 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:13 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:13 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:14 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:14 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:15 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:16 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:17 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:17 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:20 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:20 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:22 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:07:28 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:07:29 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:31 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:32 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:07:37 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:07:38 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:46 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:07:47 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:07:55 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:08:03 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:08:11 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:16 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:18 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:21 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:23 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:08:24 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:27 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:28 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:08:31 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:08:44 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:08:48 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:08:52 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:09:00 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:09:00 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:09:02 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:09:05 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:09:12 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:09:12 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:09:17 UTC,"45.187 ± 39.66 meters, 5.744 ± 39.66 meters"
2021/04/17 10:10:13 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:13 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:17 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:17 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:21 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:25 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:26 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:10:28 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:28 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:35 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:35 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:36 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:10:37 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:43 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:10:43 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:45 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:45 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:48 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:10:52 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:10:53 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:54 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:10:55 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:10:58 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:10:59 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:11:03 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:11:10 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:11:11 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:11:12 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:11:15 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:11:16 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:11:17 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
2021/04/17 10:11:22 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:11:22 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:11:28 UTC,"45.187 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:11:28 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:11:29 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:11:31 UTC,"45.186 ± 39.66 meters, 5.743 ± 39.66 meters"
2021/04/17 10:11:31 UTC,"45.187 ± 39.66 meters, 5.746 ± 39.66 meters"
2021/04/17 10:11:32 UTC,"45.187 ± 39.66 meters, 5.745 ± 39.66 meters"
